Unidade,Nome,Categoria,Preço Unitário (R$)
un,Papel 90g a5,papel,0.03
un,wire o 5/8,Wire o,1.53
un,Parana a5,papelão,0.43
un,Guarda,papel,0.33
un,Fofotgrafico Adesivo,papel,0.29
un,Acetato,Acetato,0.4
un,Embalagem,Embalagem,0.17
un,Tinta PB,Tinta,0.05
